Title,Category,Urgency,Priority,Difficulty,Hours,Status,Deadline,Completion date,Notes
Create teaching methodology,Career,High,High,High,100,Ongoing,"Oct 1, 2022",,
Copywrite Grand Memoir,Writing,High,High,Low,40,Ongoing,"Sep 1, 2022",,
Publish Grand Memoir,Family,High,High,High,200,Not Started,"Jan 1, 2023",,
Create Kramnik's lecture pgn,Career,High,Medium,Low,3,Not Started,"Aug 12, 2022",,
Code python project report project,Coding,Low,Medium,Medium,10,Ongoing,"Aug 13, 2022",,
Swim 3x a week,Health,High,High,Medium,6,Ongoing,"Aug 20, 2022",,
Publish Lincoln essay,Writing,Low,Medium,High,100,Ongoing,"Jan 1, 2023",,
Read Rhetoric,Reading,Medium,Low,Low,10,Ongoing,"Sep 1, 2022",,
Read Montaigne,Reading,Low,Medium,Low,50,Ongoing,"Dec 1, 2022",,
Read Swerve,Reading,Medium,Low,Low,5,Ongoing,"Sep 1, 2022",,
Read Stendhal,Reading,Medium,Medium,Low,15,Ongoing,"Sep 1, 2022",,
Read Seneca,Reading,Low,Low,Low,40,Ongoing,"Dec 1, 2022",,
Buy clothes,Other,Medium,Medium,Low,10,Not Started,"Sep 1, 2022",,
Start boxing,Health,Low,Medium,Medium,5,Not Started,"Oct 1, 2022",,
Become Grandmaster,Chess,Medium,High,High,1000,Ongoing,"Jan 1, 2024",,
Launch website for mother,Family,Medium,High,Medium,30,Not Started,"Sep 1, 2022",,
Start bina factory,Family,High,High,High,300,Not Started,"Oct 1, 2022",,
Launch Youtube channel,Skillset,Low,Low,High,30,Not Started,"Oct 1, 2022",,
Become fluent in russian,Skillset,Medium,High,High,1000,Not Started,"Jan 1, 2023",,
Translate Mammadguluzada Buz,Writing,Low,Medium,Medium,20,Ongoing,"Oct 1, 2022",,
